Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german
perkScientistITAVRank4LongDesc,progression,perk Pro,,,"Can craft Fortbites, Recog, antibiotics and Grandpa's Forgetting Elixir. Craft items 40% faster at chemistry stations. Craft great quality 5 robots, deal 40% more damage, 120% faster fire rate and reload an extra 40 rounds. Reload robot weapons 10% faster. Robot active range is 17 meters.",,"Kann Fortbites, Recog, Antibiotika und Grandpa's Forgetting Elixir herstellen. Stellen Sie Gegenstände 40 % schneller an Chemiestationen her. Stellen Sie hochwertige 5 Roboter her, verursachen Sie 40 % mehr Schaden, 120 % schnellere Feuerrate und laden Sie 40 zusätzliche Runden nach. Roboter nachladen Waffen 10 % schneller. Die aktive Reichweite des Roboters beträgt 17 Meter."
perkScientistITAVRank5Desc,progression,perk Pro,,,Master,,Meister:in
perkScientistITAVRank5LongDesc,progression,perk Pro,,,"You are now a top expert in robotics. Reload robot weapons 20% faster and reload an extra 50 rounds. Robot active range is 18 meters.\n Two deployed robots can be active at once. \n Unlocks crafting of SMG Auto Turret, Robotic Drone and Advanced Robotic's Table.",,"Du bist jetzt ein Top-Experte für Robotik. Lade Roboterwaffen 20 % schneller nach und lade 50 zusätzliche Schuss nach. Die aktive Reichweite des Roboters beträgt 18 Meter.\n Zwei eingesetzte Roboter können gleichzeitig aktiv sein. \n Schaltet die Herstellung von SMG Auto Turret frei, Robotic Drone und Advanced Robotic's Table."

perkRunnerITAVDesc,progression,perk Pro,,,"Craft those vehicles! Perform high-end crafts at the Advanced Mechanic's Table.",,"Craft those vehicles! Perform high-end crafts at the Advanced Mechanic's Table."
perkRunnerITAVName,progression,perk Pro,,,Mechanic,,Mechaniker:in
perkRunnerITAVRank1Desc,progression,perk Pro,,,Bikes and Gambling,,Fahrräder und Glücksspiel
perkRunnerITAVRank1LongDesc,progression,perk Pro,,,"Harvest 20% faster and recieve 20% more resources when harvesting with a wrench, ratchet or impact driver. \n Unlocks crafting of workbenches, Wrench, Lockpicks, Crushed Car wall, Wheels, Bike parts, Baby Powerizer Boots, Baby Work Boots, Minibike parts, Gas cans, Lottery Box and quality 4 Car Batteries.",,"Ernte 20 % schneller und erhalte 20 % mehr Ressourcen, wenn du mit einem Schraubenschlüssel, einer Ratsche oder einem Schlagschrauber erntest. \n Schaltet die Herstellung von Werkbänken, Schraubenschlüsseln, Dietrichen, zertrümmerten Autowänden, Rädern, Fahrradteilen, Baby-Powerizer-Stiefeln, Baby-Arbeitsstiefeln frei , Minibike-Teile, Benzinkanister, Lotteriebox und 4 hochwertige Autobatterien."
perkRunnerITAVRank2Desc,progression,perk Pro,,,Motorbiker, Boots and Engines,,Motorradfahrer, Stiefel und Motoren
perkRunnerITAVRank2LongDesc,progression,perk Pro,,,"Harvest 60% faster and recieve 60% more resources with a wrench, ratchet or impact driver. \n Unlocks crafting of Motorcycle parts, Powerizer Boots, Work Boots, oil, tool fuel, Gas can bundle, quality 5 Car Batteries, and Advanced Mechanic's Table. Can pick up mines.",,"Ernte 60 % schneller und erhalte 60 % mehr Ressourcen mit einem Schraubenschlüssel, einer Ratsche oder einem Schlagschrauber. \n Schaltet die Herstellung von Motorradteilen, Powerizer-Stiefeln, Arbeitsstiefeln, Öl, Werkzeugtreibstoff, Benzinkanisterbündeln, hochwertigen 5-Autobatterien und Advanced Mechanic's Table. Kann Minen aufheben."
perkRunnerITAVRank3Desc,progression,perk Pro,,,Limo out front,,Limousine vorn
perkRunnerITAVRank3LongDesc,progression,perk Pro,,,"Harvest 80% faster and recieve 100% more resources with a wrench, ratchet or impact driver. \n Unlocks crafting of  4x4 truck parts and quality 6 Car Batteries. Take 50% less damage from land mines. Loose board traps and mines trigger 2 seconds slower.",,"Ernte 80 % schneller und erhalte 100 % mehr Ressourcen mit einem Schraubenschlüssel, einer Ratsche oder einem Schlagschrauber. \n Schaltet die Herstellung von 4x4-LKW-Teilen und 6 hochwertigen Autobatterien frei. Nimm 50 % weniger Schaden durch Landminen. Lose Brettfallen und Minen werden ausgelöst 2 Sekunden langsamer."
perkRunnerITAVRank4Desc,progression,perk Pro,,,Level 4,,Level 4
perkRunnerITAVRank4LongDesc,progression,perk Pro,,,"",,""
perkRunnerITAVRank5Desc,progression,perk Pro,,,Level 5,,Level 5
perkRunnerITAVRank5LongDesc,progression,perk Pro,,,"",,""

perkReaperITAVDesc,progression,perk Pro,,,"You are a hunter of both the living and the undead, and will stop at nothing to survive. Let your bloodthirst go rampant and use your combat skills to obtain sought after items from the most dangerous places.",,"Du bist ein Jäger sowohl der Lebenden als auch der Untoten und schreckst vor nichts zurück, um zu überleben. Lass deinen Blutdurst zügeln und nutze deine Kampffähigkeiten, um begehrte Gegenstände von den gefährlichsten Orten zu erhalten."
perkReaperITAVName,progression,perk Pro,,,Reaper,,Reaper
perkReaperITAVRank1Desc,progression,perk Pro,,,"Into the abyss",,"In den Abgrund"
perkReaperITAVRank1LongDesc,progression,perk Pro,,,"You can consume Rotting Flesh and Murky Water without being affected by dysentery. 10% increased run speed at night. Obtain 100% more Cerebrospinal Fluid from Mushy Brains. Harvest 20% more resources from animals. Crouch to track rabbits, snakes and chickens. Deal 25% more damage to animals. Loot time decreased by 20%. You can pick locks 10% faster.",,"Du kannst verrottendes Fleisch und trübes Wasser konsumieren, ohne von Ruhr betroffen zu sein. 10 % höhere Laufgeschwindigkeit bei Nacht. Erhalte 100 % mehr zerebrospinale Flüssigkeit aus Mushy Brains. Ernte 20 % mehr Ressourcen von Tieren. Gehe in die Hocke, um Kaninchen, Schlangen und Hühner. Füge Tieren 25 % mehr Schaden zu. Plünderzeit um 20 % verringert. Du kannst Schlösser 10 % schneller knacken."
perkReaperITAVRank2Desc,progression,perk Pro,,,Bloody Business,,Verdammte Geschäfte
perkReaperITAVRank2LongDesc,progression,perk Pro,,,"Crouch to track deers, boars, wolves and coyotes. Obtain 300% more Cerebrospinal Fluid from Mushy Brains. Harvest 60% more resources from animals. Can pick up mines. Loot time decreased by 40%. You can pick locks 20% faster. Unlocks crafting of Vehicle Super Charger Mod and Flesh Bags.",,"Hocken Sie sich nieder, um Rehe, Wildschweine, Wölfe und Kojoten aufzuspüren. Erhalten Sie 300 % mehr Zerebrospinalflüssigkeit von Mushy Brains. Ernten Sie 60 % mehr Ressourcen von Tieren. Kann Minen aufheben. Beutezeit um 40 % verringert. Sie können Schlösser knacken um 20 % schneller. Schaltet die Herstellung von Vehicle Super Charger Mod und Flesh Bags frei."
perkReaperITAVRank3Desc,progression,perk Pro,,,Point of no return,,Punkt ohne Wiederkehr
perkReaperITAVRank3LongDesc,progression,perk Pro,,,"Crouch to track mountain lions and bears. Harvest 100% more resources from animals, and gain a run speed boost when fighting zombie bears. Take 50% less damage from land mines. Loose board traps and mines trigger 2 seconds slower. Loot time decreased by 60%. You can pick locks 30% faster. Unlocks crafting of Musty Munchies, Pungent Punchies and Sneaky Ickies.",,"Geh in die Hocke, um Berglöwen und Bären aufzuspüren. Ernte 100 % mehr Ressourcen von Tieren und erhalte einen Geschwindigkeitsschub beim Laufen, wenn du gegen Zombiebären kämpfst. Erleide 50 % weniger Schaden durch Landminen. Lose Brettfallen und Minen werden 2 Sekunden langsamer ausgelöst. Beute Zeit um 60 % verringert. Sie können Schlösser 30 % schneller knacken. Schaltet die Herstellung von muffigen Munchies, Pungent Punchies und Sneaky Ickies frei."

perkDecoratorITAVDesc,progression,perk Pro,,,"Spice up your apocalypse! Decorative items are crafted in a Decorator's Table Saw. \n Picking Decorator does not count towards your max number of Professions allowed, it is a 'free' profession.",,"Würze deine Apokalypse! Dekorative Gegenstände werden in einer Tischkreissäge eines Dekorateurs hergestellt. \n Die Wahl des Dekorateurs zählt nicht zu deiner maximalen Anzahl an erlaubten Berufen, es ist ein 'freier' Beruf."
perkDecoratorITAVName,progression,perk Pro,,,Decorator,,Dekorateur:in
perkDecoratorITAVRank1Desc,progression,perk Pro,,,"Dyes, Pocket, Flowers and Furniture",,"Farben, Tasche, Blumen und Möbel"
perkDecoratorITAVRank1LongDesc,progression,perk Pro,,,"Unlocks invisible dye, clothing pocket, clothes racks, coffee and soda machines, bathtub, single bed, planter, candelabra, logfire, wood burning stove, booths, pool table, signs, water cooler, trash cans, fridges, toaster, microwave ovens, front doors, shopping cart, terrarium, bar stools, decorative cooking pot, wine bottles, flowers, hanging moss, juniper and azalea.",,"Schaltet unsichtbare Farbstoffe, Kleidertaschen, Kleiderständer, Kaffee- und Getränkeautomaten, Badewanne, Einzelbett, Blumenkasten, Kandelaber, Holzfeuer, Holzofen, Sitzecken, Billardtisch, Schilder, Wasserspender, Mülleimer, Kühlschränke, Toaster, Mikrowellenherde, Haustüren, Einkaufswagen, Terrarium, Barhocker, dekorativer Kochtopf, Weinflaschen, Blumen, hängendes Moos, Wacholder und Azaleen."
perkDecoratorITAVRank2Desc,progression,perk Pro,,,Lumination, Signs and Wardrobe
perkDecoratorITAVRank2LongDesc,progression,perk Pro,,,"Unlocks double pockets, cosmetic clothes mods, mannequins, laptop, movie posters, signs, neon shop sign, porch lights, table lamps, ceiling lamps and chandelier. Use the wireless fusebox to connect them to a power source.",,"Schaltet Doppeltaschen, Mods für kosmetische Kleidung, Mannequins, Laptops, Filmplakate, Schilder, Neon-Ladenschilder, Verandalampen, Tischlampen, Deckenlampen und Kronleuchter frei. Verwenden Sie den drahtlosen Sicherungskasten, um sie an eine Stromquelle anzuschließen."

hasLearntSmelterITAVTooltip,items,Admin,,,"Profession: Smelter acquired",,"Beruf: Schmelzer erworben"
hasLearntMinerITAVTooltip,items,Admin,,,"Profession: Miner acquired",,"Beruf: Bergmann erworben"
hasLearntHunterITAVTooltip,items,Admin,,,"Profession: Hunter acquired",,"Beruf: Jäger:in erworben"
hasLearntCookITAVTooltip,items,Admin,,,"Profession: Cook acquired",,"Beruf: Koch/Köchin erworben"
hasLearntArmorerITAVTooltip,items,Admin,,,"Profession: Armorer acquired",,"Beruf: Waffenschmied:in erworben"
hasLearntWeaponsmithITAVTooltip,items,Admin,,,"Profession: Weaponsmith acquired",,"Beruf: Waffenschmied:in erworben"
hasLearntFarmerITAVTooltip,items,Admin,,,"Profession: Farmer acquired",,"Beruf: Bauer erworben"
hasLearntChemistITAVTooltip,items,Admin,,,"Profession: Chemist acquired",,"Beruf: Chemiker:in erworben"
hasLearntRoboticsITAVTooltip,items,Admin,,,"Profession: Robotics Inventor acquired",,"Beruf: Erfinder:in der Robotik erworben"
hasLearntScientistITAVTooltip,items,Admin,,,"Profession: Scientist acquired",,"Beruf: Wissenschaftler:in erworben"
hasLearntRunnerITAVTooltip,items,Admin,,,"Profession: Mechanic acquired",,"Beruf: Mechaniker:in erworben"
hasLearntReaperITAVTooltip,items,Admin,,,"Profession: Reaper acquired",,"Beruf: Reaper erworben"
drinkJarProfPerkForgettingElixirTooltip,items,Admin,,,"Your Profession Perk skill points have been reset.",,"Ihre Fertigkeitspunkte für den Beruf Perk wurden zurückgesetzt."
readyForNextProfessionTooltip,progression,,,,"Crafting: Profession Book available!",,"Handwerk: Berufsbuch verfügbar!"

tutorialTipITAV_title,Journal Tip,,,,"It Takes A Village",,"Es braucht ein Dorf"
tutorialTipITAV,Journal Tip,,,,"You look rough,\n \n If you can find the other survivors, you can combine your different strengths to better survive the apocalypse. Complete the intro quest to recieve your first profession book. \n \n It Takes A Village!",,"Du siehst grob aus,\n \n Wenn du die anderen Überlebenden finden kannst, kannst du deine verschiedenen Stärken kombinieren, um die Apokalypse besser zu überleben. Schließe die Intro-Quest ab, um dein erstes Berufsbuch zu erhalten. \n \n Es braucht ein Dorf!"
weaponPartsAssemblyTipITAV_title, Journal Tip,,,,"Weapon Part Fragments",,"Waffenteilfragmente"
weaponPartsAssemblyTipITAV,Journal Tip,,,,"The Armorer can assemble weapon parts out of Fragments. Weapon Parts scrap into 25 Weapon Fragments.",,"Der Waffenschmied kann Waffenteile aus Fragmenten zusammenbauen. Waffenteile werden in 25 Waffenfragmente zerlegt."
weaponPartFragmentITAV,items,,,,"Weapon Part Fragment",,"Waffenteilfragment"
weaponPartFragmentITAVGroupDesc,items,,,,"The Armorer can assemble any kind of weapon part out of Weapon Part Fragments. Weapon Parts scrap into 25 Weapon Fragments.",,"Der Waffenschmied kann jede Art von Waffenteil aus Waffenteilfragmenten zusammenbauen. Waffenteile werden zu 25 Waffenfragmenten verschrottet."
toolPartFragmentITAV,items,,,,"Tool Part Fragment",,"Werkzeugteilfragment"
toolPartFragmentITAVGroupDesc,items,,,,"The Robotics Inventor can assemble robotics parts out of Tool Part Fragments. Steel Tool Parts and Motor Tool Parts scrap into 25 Tool Fragments.",,"Der Robotik-Erfinder kann Roboterteile aus Werkzeugteilfragmenten zusammenbauen. Stahlwerkzeugteile und Motorwerkzeugteile werden zu 25 Werkzeugfragmenten verschrottet."

resourceRepairKitDesc,items,Item,,,"Repair Kits are used to repair all tools and worn items, vehicles, turrets, drones and more.",,"Reparaturkits werden verwendet, um alle Werkzeuge und verschlissenen Gegenstände, Fahrzeuge, Geschütztürme, Drohnen und mehr zu reparieren."

resourceWeaponRepairKitITAV,items,Item,,,"Weapon Repair Kit",,"Waffenreparaturset"
resourceWeaponRepairKitITAVDesc,items,Item,,,"Weapon Repair Kits are used to repair all weapons that are made of materials more advanced than wood, stone and leather.",,"Waffenreparatursets werden verwendet, um alle Waffen zu reparieren, die aus fortschrittlicheren Materialien als Holz, Stein und Leder bestehen."
resourceCarFrameITAV,items,Item,,,"Car Frame",,"Autorahmen"
resourceCarFrameITAVDesc,items,Item,,,"Car Frames are used for crafting Crushed Car walls.",,"Autorahmen werden zum Herstellen von zerkleinerten Autowänden verwendet."
ammoGasCanToolITAV,items,Item,,,"Tool Fuel",,"Werkzeugtreibstoff"
ammoGasCanToolITAVDesc,items,Item,,,"Tool Fuel is used to power the auger and the chainsaw. The Mechanic can make it in the advanced workbench. The recipe yields 400 units per craft.",,"Werkzeugtreibstoff wird verwendet, um den Bohrer und die Kettensäge anzutreiben. Der Mechaniker kann ihn in der erweiterten Werkbank herstellen. Das Rezept ergibt 400 Einheiten pro Handwerk."
ammoGasCanToolITAVBundle,items,Item,,,"Stack of Tool Fuel",,"Stapel Werkzeugtreibstoff"
ammoGasCanToolITAVBundleDesc,items,Item,,,"Efficient to make, price and store!",,"Effizient in Herstellung, Preis und Lagerung!"

MyFirstProfessionTip_title,Journal Tip,,,,Learning Professions,,Lernberufe
MyFirstProfessionTip,Journal Tip,,,,"Complete the Profession quest and chose a reward from the trader. Once you have maxed out a Profession, you can craft a 'Profession book', which allows you to pick an additional Profession.  \n  Keep maxing out your Professions to become able to learn new ones!",,"Schließen Sie die Berufsquest ab und wählen Sie eine Belohnung vom Händler aus. Sobald Sie einen Beruf ausgeschöpft haben, können Sie ein 'Berufsbuch' erstellen, mit dem Sie einen weiteren Beruf auswählen können. \n  Maximieren Sie Ihre Berufe weiter, um sie zu werden neue lernen können!"

quest_myFirstProfession_description_title,Journal Tip,,,,Learning Your First Profession,,Den ersten Beruf lernen
quest_myFirstProfession_description,Quest,Quest Info,,,"Time to chose your Profession!\n \n Professions are incredibly strong: Few things drop in loot, and only the Smelter can make Forged Iron, only the Cook can make food worth a damn. No one can make good weapons or armor except the Armorer. \n \n You can only learn THREE professions in total. \n \n The trader will get you started with a free book, go see them." ,,"Zeit, deinen Beruf zu wählen!\n \n Berufe sind unglaublich stark: Wenige Dinge fallen in Beute, und nur der Schmelzer kann geschmiedetes Eisen herstellen, nur der Koch kann Lebensmittel herstellen, die einen Dreck wert sind. Niemand kann gute Waffen oder Rüstungen herstellen außer dem Waffenschmied. \n \n Du kannst insgesamt nur DREI Berufe erlernen. \n \n Der Händler wird dir mit einem kostenlosen Buch den Einstieg erleichtern, sieh sie dir an."
quest_mySecondProfession_description_title,Journal Tip,,,,My Second Profession,,Mein zweiter Beruf
quest_mySecondProfession_description,Quest,Quest Info,,,"Time to chose your second path!\n \n You will now be able to pick ONE (1) Profession. Only after perfecting this Profession will you be able to learn your third. \n \n ...If you live that long.",,"Zeit, deinen zweiten Weg zu wählen!\in\Du kannst jetzt EINEN (1) Beruf wählen. Erst nachdem du diesen Beruf perfektioniert hast, kannst du deinen dritten erlernen. \n \n ...Wenn du lebst so lang."

quest_MyFirstProfession_offer,Quest,Quest Info,,,"Picking a Trade \n \n You only get you first Profession once, so choose carefully. \n Only after perfecting this first Profession will you be able to learn your second. Talk to a trader to access 'My second Profession!'. \n Coordinate with other survivors to find out what is needed in the community. \n \n ...If you live that long.",,"Einen Beruf wählen \n \n Du erhältst deinen ersten Beruf nur einmal, also wähle ihn sorgfältig aus. \n Erst nachdem du diesen ersten Beruf perfektioniert hast, kannst du deinen zweiten erlernen. Sprich mit einem Händler, um Zugang zu "Mein zweiter Beruf" zu erhalten. \n Koordiniere dich mit anderen Überlebenden, um herauszufinden, was in der Gemeinde gebraucht wird. \n \n ...wenn du so lange lebst."
quest_MyFirstProfession_subtitle,Quests,Quests,,,My First Profession,,Mein erster Beruf
quest_MyFirstProfession_title,Quests,Quests,,,Pick a Profession,,Wählen Sie einen Beruf
quest_MyFirstProfession_response,Quests,Quests,,,Trade Profession Quest Response,,Handelsberuf Quest Antwort
quest_MyFirstProfession_statement,Quests,Quests,,,Pick a Profession,,Wählen Sie einen Beruf
quest_MyFirstProfession_completion,Quests,Quests,,,"Choose what Profession fits you and your community best.\n \n Once you have read the Profession book, there is no going back.\n \n Choose carefully.",,"Wähle den Beruf, der am besten zu dir und deiner Gemeinde passt.\n \n Sobald du das Berufsbuch gelesen hast, gibt es kein Zurück mehr.\n \n Wähle sorgfältig."

quest_MySecondProfession_offer,Quest,Quest Info,,,"Picking a Trade \n \n You only get you second Profession once, so choose carefully. \n Only after perfecting this second Profession will you be able to learn your third. Talk to a trader to access 'My third Profession!'. \n \n Don't forget to trade with the other survivors!",,"Einen Beruf wählen \n \n Du erhältst deinen zweiten Beruf nur einmal, also wähle ihn sorgfältig aus. \n Erst nachdem du diesen zweiten Beruf perfektioniert hast, kannst du deinen dritten erlernen. Sprich mit einem Händler, um Zugang zu "Mein dritter Beruf!" zu erhalten. \n \n Vergiss nicht, mit den anderen Überlebenden zu handeln!"
quest_MySecondProfession_subtitle,Quests,Quests,,,My Second Profession,,Mein zweiter Beruf
quest_MySecondProfession_description,Quests,Quests,,,"Talking to the Trader will allow me to chose one more Profession.",,"Wenn ich mit dem Händler spreche, kann ich einen weiteren Beruf wählen."
quest_MySecondProfession_title,Quests,Quests,,,Pick a Profession,,Wählen Sie einen Beruf
quest_MySecondProfession_response,Quests,Quests,,,Trade Profession Quest Response,,Handelsberuf Quest Antwort
quest_MySecondProfession_statement,Quests,Quests,,,Pick a Profession,,Wählen Sie einen Beruf
quest_MySecondProfession_completion,Quests,Quests,,,"Choose what Profession fits you and your community best.\n \n Once you have read the Profession book, there is no going back.\n \n Choose carefully.",,"Wähle den Beruf, der am besten zu dir und deiner Gemeinde passt.\n \n Sobald du das Berufsbuch gelesen hast, gibt es kein Zurück mehr.\n \n Wähle sorgfältig."

quest_MyNextProfession_offer,Quest,Quest Info,,,"Choose your next Profession carefully. \n \n Note that reading the next book does not give you a point in the chosen Profession, it only unlocks it. \n \n \n After perfecting this Profession, you will be able to learn yet another.",,"Choose your next Profession carefully. \n \n Note that reading the next book does not give you a point in the chosen Profession, it only unlocks it. \n \n \n After perfecting this Profession, you will be able to learn yet another."
quest_MyNextProfession_subtitle,Quests,Quests,,,Profession Book,,Berufsbuch
quest_MyNextProfession_description,Quests,Quests,,,"Talking to the Trader will allow me to chose one more Profession.",,"Wenn ich mit dem Händler spreche, kann ich einen weiteren Beruf wählen."
quest_MyNextProfession_title,Quests,Quests,,,Pick a Profession,,Wählen Sie einen Beruf
quest_MyNextProfession_response,Quests,Quests,,,Trade Profession Quest Response,,Handelsberuf Quest Antwort
quest_MyNextProfession_statement,Quests,Quests,,,Pick a Profession,,Wählen Sie einen Beruf
quest_MyNextProfession_completion,Quests,Quests,,,"Choose what Profession fits you and your community best.\n \n Once you have read the Profession book, there is no going back. \n \n Choose carefully.",,"Wähle den Beruf, der am besten zu dir und deiner Gemeinde passt.\n \n Sobald du das Berufsbuch gelesen hast, gibt es kein Zurück mehr. \n \n Wähle sorgfältig."

quest_ProfCont_description_title,,,,,"Shop Setup",,"Shop Einrichten"
quest_ProfCont_description,,,,,"It's time to find a safe spot and set up your store, and put some goods up for sale to let other survivors buy from you. \n You might want to lock the door around your crafting area, so no one walks in and 'borrows' your hard earned stuff... \n \n Press 'O' to see Quests, 'N' for skills. ",,"Es ist an der Zeit, einen sicheren Ort zu finden und deinen Laden einzurichten und einige Waren zum Verkauf anzubieten, damit andere Überlebende bei dir einkaufen können. \n Vielleicht möchtest du die Tür um deinen Handwerksbereich herum abschließen, damit niemand hereinkommt und." 'leiht' sich deine hart verdienten Sachen... \n \n Drücke 'O', um Quests zu sehen, 'N' für Fertigkeiten. "

quest_ProfCont_name,Quests,Quests,,,Setup your Shop,,Richten Sie Ihren Shop ein
quest_ProfCont_subtitle,Quests,Quests,,,Setup your Shop,,Richten Sie Ihren Shop ein
quest_ProfCont_statement,Quests,Quests,,,Establish Your Profession,,Gründen Sie Ihren Beruf
quest_ProfCont_response,Quests,Quests,,,Profession Quest Response,,Berufsquestantwort
quest_ProfCont_completion,Quests,Quests,,,"The Mechanic can craft even stronger versions of these boots. \n \n Treat yourself!",,"Der Mechaniker kann noch stärkere Versionen dieser Stiefel herstellen. \n \n Gönn dir was!"


qb_MyFirstProfessionITAV,Items,,,,"Profession Book 1",,"Berufsbuch 1"
qb_MyFirstProfessionITAV_desc,Items,,,,"Reading this book allows you to learn your first Profession! Choose your desired Profession from the quest rewards. To unlock a second Profession, you must max out your first one.",,"Wenn Sie dieses Buch lesen, können Sie Ihren ersten Beruf erlernen! Wählen Sie Ihren gewünschten Beruf aus den Questbelohnungen aus. Um einen zweiten Beruf freizuschalten, müssen Sie Ihren ersten voll ausschöpfen."
qb_MySecondProfessionITAV,Items,,,,"Profession Book 2",,"Berufsbuch 2"
qb_MySecondProfessionITAV_desc,Items,,,,"Reading this book allows you to learn your second Profession! Choose your desired Profession from the quest rewards. To unlock a third Profession, you must max out your second one.",,"Wenn Sie dieses Buch lesen, können Sie Ihren zweiten Beruf erlernen! Wählen Sie Ihren gewünschten Beruf aus den Questbelohnungen aus. Um einen dritten Beruf freizuschalten, müssen Sie Ihren zweiten Beruf voll ausschöpfen."
qb_MyThirdProfessionITAV,Items,,,,"Profession Book 3",,"Berufsbuch 3"
qb_MyThirdProfessionITAV_desc,Items,,,,"Reading this book allows you to learn your third Profession! Choose your desired Profession from the quest rewards. To unlock a fourth Profession, you must max out your third one.",,"Wenn Sie dieses Buch lesen, können Sie Ihren dritten Beruf erlernen! Wählen Sie Ihren gewünschten Beruf aus den Questbelohnungen aus. Um einen vierten Beruf freizuschalten, müssen Sie Ihren dritten Beruf voll ausschöpfen."
qb_MyFourthProfessionITAV,Items,,,,"Profession Book 4",,"Berufsbuch 4"
qb_MyFourthProfessionITAV_desc,Items,,,,"Reading this book allows you to learn your fourth Profession! Choose your desired Profession from the quest rewards. Four Professions is the max amount your brain can handle.",,"Wenn Sie dieses Buch lesen, können Sie Ihren vierten Beruf erlernen! Wählen Sie Ihren gewünschten Beruf aus den Questbelohnungen aus. Vier Berufe ist die maximale Menge, die Ihr Gehirn bewältigen kann."
qb_MyNextProfessionITAV,Items,,,,"My Next Profession",,"Mein nächster Beruf"
qb_MyNextProfessionITAV_desc,Items,,,,"Reading this book allows you to learn your an additional Profession! Choose your desired Profession from the quest rewards. Max out the profession to open the ability of learning yet another one.",,"Wenn Sie dieses Buch lesen, können Sie einen weiteren Beruf erlernen! Wählen Sie Ihren gewünschten Beruf aus den Questbelohnungen aus. Maximieren Sie den Beruf, um die Fähigkeit zum Erlernen eines weiteren zu eröffnen."

apparelDivingMaskITAV,Items,,,,"Diving Mask",,"Tauchermaske"
apparelUnderwaterBreathingDivingMaskITAVDesc,Items,,,,"Providing full protection from drowning, and some protection against the cold of the water.",,"Bietet vollständigen Schutz vor dem Ertrinken und einen gewissen Schutz vor der Kälte des Wassers."

noteDadJoke01ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke01ITAVDesc,,,,,"Why do bees have sticky hair? \n \n Because they use a honeycomb.",,"Warum haben Bienen klebrige Haare? \in\Weil sie eine Wabe benutzen."
noteDadJoke02ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke02ITAVDesc,,,,,"What did the police officer say to their belly button? \n \n 'You are under a vest.'",,"Was hat der Polizist zu ihrem Bauchnabel gesagt? \n \n 'Du bist unter einer Weste.'"
noteDadJoke03ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke03ITAVDesc,,,,,"How does it feel to be hit by a stun baton? \n \n It Hertz.",,"How does it feel to be hit by a stun baton? \n \n It Hertz."
noteDadJoke04ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke04ITAVDesc,,,,,"When does a joke become a 'dad joke'? \n \n When it becomes apparent.",,"Wann wird aus einem Witz ein 'Papa-Witz'? \n \n Wenn es offensichtlich wird."
noteDadJoke05ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke05ITAVDesc,,,,,"I used to hate facial hair. But then it grew on me.",,"Früher habe ich Gesichtsbehaarung gehasst. Aber dann ist es mir ans Herz gewachsen."
noteDadJoke06ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke06ITAVDesc,,,,,"It takes guts to be an organ donor.",,"Man braucht Mut, um Organspender zu sein."
noteDadJoke07ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke07ITAVDesc,,,,,"Why did the two pieces of pumpkin bread get married? \n \n It was loaf at first sight.",,"Warum haben die beiden Stücke Kürbisbrot geheiratet? \n \n Es war auf den ersten Blick ein Laib."
noteDadJoke08ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke08ITAVDesc,,,,,"What do bears eat at parties? \n \n Bluebeary pie.",,"Was essen Bären auf Partys? \n \n  Blaubärenkuchen."
noteDadJoke09ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke09ITAVDesc,,,,,"What do you call a bear that doesn't have any ears? \n \n A b.","Wie nennt man einen Bären, der keine Ohren hat? \n \n A b."
noteDadJoke10ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke10ITAVDesc,,,,,"Why are zombies never arrested? \n \n Because they can never be taken alive.",,"Warum werden Zombies nie festgenommen? \in\Weil sie niemals lebend gefangen werden können."
noteDadJoke11ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke11ITAVDesc,,,,,"What bread do zombies usually eat? \n \n Whole brain.",,"Welches Brot essen Zombies normalerweise? \n \n  Ganzes Gehirn."
noteDadJoke12ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke12ITAVDesc,,,,,"What do vegetarian zombies eat? \n \n Graaains.","Was essen vegetarische Zombies? \n \n  Getreeeeeeeeide."
noteDadJoke13ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke13ITAVDesc,,,,,"What do bears eat at parties? \n \n Bluebeary pie.",,"Was essen Bären auf Partys? \n \n  Blaubärenkuchen."
noteDadJoke14ITAV,,,,,"Don't read it",,"Nicht lesen"
noteDadJoke14ITAVDesc,,,,,"Does anyone know if I could take some of my butt flesh and graft it onto someone who isn't a relative? Ass skin for a friend." ,,"Weiß jemand, ob ich etwas von meinem Hintern nehmen und es jemandem verpflanzen könnte, der kein Verwandter ist? Arschhaut für einen Freund."
noteDadJoke15ITAV,,,,,"Don't read it",,"Nicht lesen"
